lease_id,unit_id,property_id,metro,lease_start_date,leased_month,as_of_date,tenure_months,monthly_rent,market_rent_proxy,rent_to_market_ratio,late_payment_count_12m,work_order_count_12m,prior_renewal_count,bedrooms,renewed,synthetic_signal_z,dataset_version_id,cohort_month,is_long_tenure,high_service_load,ecosystem_segment,brand_line,flagship_style,metro_cluster,property_name,renewal_probability_ml,predicted_renewed_flag,risk_score,risk_tier,mlflow_run_id,model_name,scored_at
L000001,PROP010-U0257,PROP010,Denver,2022-01-19,2022-01,2022-08-17,7,1475.42,1491.25,0.9894,0,3,0,2,0,0.0383,synthetic-demo-core-intel-v2026-05-16,2022-01,0,0,student_housing_pad,LivStripe-O synthetic,wrap_garden,college_city_corridor,Brightline Courts,0.42968,0,0.57032,D8,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000002,PROP005-U0023,PROP005,Columbus,2023-05-01,2023-05,2025-04-20,24,1697.17,1836.37,0.9242,1,2,3,2,1,0.6833,synthetic-demo-core-intel-v2026-05-16,2023-05,1,0,student_housing_pad,TapestryBands synthetic,wrap_garden,growth_infill,Waypoint Quarter,0.57463,1,0.42537,D4,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000003,PROP026-U0630,PROP026,Chicago,2022-10-13,2022-10,2024-07-04,21,1562.33,1507.52,1.0364,1,1,3,2,1,0.6639,synthetic-demo-core-intel-v2026-05-16,2022-10,1,0,student_housing_pad,TapestryBands synthetic,cottage_cluster,major_msa_hub,Meridian Flats,0.50808,1,0.49192,D6,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000004,PROP002-U0191,PROP002,Chicago,2022-04-03,2022-04,2024-03-23,24,1586.48,1512.74,1.0488,1,2,3,2,1,0.5152,synthetic-demo-core-intel-v2026-05-16,2022-04,1,0,student_housing_pad,SignalLoop synthetic,urban_highrise,growth_infill,Catalyst Quarter,0.51317,1,0.48683,D5,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000005,PROP029-U0213,PROP029,Bloomington,2022-03-13,2022-03,2023-10-04,19,1675.08,1553.93,1.078,0,1,0,2,0,-0.1772,synthetic-demo-core-intel-v2026-05-16,2022-03,1,0,student_housing_pad,SignalLoop synthetic,townhome_strip,growth_infill,Brightline Courts,0.33344,0,0.66656,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000006,PROP036-U0129,PROP036,Columbus,2021-04-17,2021-04,2022-07-11,15,1824.47,2134.69,0.8547,2,2,4,2,1,1.2722,synthetic-demo-core-intel-v2026-05-16,2021-04,1,0,student_housing_pad,TapestryBands synthetic,cottage_cluster,sunbelt_launch,Catalyst Flats,0.67679,1,0.32321,D1,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000007,PROP005-U0224,PROP005,Columbus,2024-09-26,2024-09,2025-06-23,9,1562.12,1760.39,0.8874,0,1,1,2,0,0.54,synthetic-demo-core-intel-v2026-05-16,2024-09,0,0,student_housing_pad,TapestryBands synthetic,wrap_garden,growth_infill,Waypoint Quarter,0.45821,0,0.54179,D7,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000008,PROP005-U0039,PROP005,Columbus,2024-07-20,2024-07,2026-08-09,25,1817.3,1771.75,1.0257,0,0,0,2,0,-0.2447,synthetic-demo-core-intel-v2026-05-16,2024-07,1,0,student_housing_pad,TapestryBands synthetic,wrap_garden,growth_infill,Waypoint Quarter,0.30631,0,0.69369,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000009,PROP034-U0311,PROP034,Madison,2024-05-03,2024-05,2026-04-23,24,1854.65,2040.71,0.9088,1,0,0,2,1,-0.1419,synthetic-demo-core-intel-v2026-05-16,2024-05,1,0,student_housing_pad,HarbourGlow synthetic,townhome_strip,major_msa_hub,Alto Walk,0.31467,0,0.68533,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000010,PROP006-U0027,PROP006,Nashville,2022-03-18,2022-03,2023-05-12,14,1573.64,1503.27,1.0468,1,0,1,4,0,0.5418,synthetic-demo-core-intel-v2026-05-16,2022-03,0,0,hybrid_corner,TapestryBands synthetic,urban_highrise,major_msa_hub,Brightline Flats,0.50021,1,0.49979,D6,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
